# BEAST v1.8.4
# Generated Sun Jan 13 09:41:33 OMST 2019 [seed=1547350892005]
# nac1_sfragm_default.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
28000	-238.32924271675654	0.06054911629217652	-238.38979183304872	0.18897561873550672	0.3331766341193267	3.437270829102797	0.2214174353343616	0.2632827405978136	0.2264631884014748	0.28883663566635015	1.0	1.0	-238.38979183304872	0.0	1.3558500701129752
29000	-241.62077220860814	-3.4833668176670534	-238.1374053909411	0.18328768641195764	1.027089764748931	2.6702136880807426	0.2214174353343616	0.2632827405978136	0.2264631884014748	0.28883663566635015	1.0	1.0	-238.1374053909411	0.0	-1.3322950369097606
30000	-242.8436079064152	-1.5186055606179019	-241.3250023457973	0.2503451783375313	0.4480959323291045	3.840141611959792	0.2858232347960713	0.21105899471154685	0.2378429300555647	0.2652748404368172	1.0	1.0	-241.3250023457973	0.0	0.20443835717582115
31000	-240.17638700145713	-0.6883271930658399	-239.48805980839128	0.2338366204485363	0.3403606178393308	3.7352278576454294	0.22999411769693617	0.32862412002685826	0.1637154470305609	0.2776663152456447	1.0	1.0	-239.48805980839128	0.0	0.7261349147993112
32000	-245.56628086056503	-1.4229475957194433	-244.14333326484558	0.20577465575412224	0.5246846927238075	3.7352278576454294	0.2269267258273781	0.25712748650503925	0.15161274123581087	0.3643330464317718	1.0	1.0	-244.14333326484558	0.0	0.42430631279357894
33000	-245.58447715595696	-1.0543034726794376	-244.53017368327752	0.20007999148649358	0.3639739375702039	2.334116080982552	0.2269267258273781	0.29086054437038095	0.11068580636926748	0.3715269234329735	1.0	1.0	-244.53017368327752	0.0	-0.06783213595697402
34000	-241.98028749795364	-2.005654890011519	-239.9746326079421	0.3163907382830635	0.1887698618586485	4.053256286216607	0.22772274495137698	0.29877282847074044	0.17758501411624802	0.2959194124616345	1.0	1.0	-239.9746326079421	0.0	-1.0802015522721453
35000	-237.65406285384364	0.6023047719289116	-238.25636762577255	0.20015316859460935	0.25859477468539765	2.9277290348766756	0.23697756234027934	0.30233662168373937	0.16903894201161268	0.29164687396436856	1.0	1.0	-238.25636762577255	0.0	1.467883976057323
36000	-241.58900615439427	-2.1394441599762475	-239.44956199441802	0.17820253719089885	0.142355498377193	4.381557216767908	0.17883017736611437	0.30233662168373937	0.16903894201161268	0.3497942589385335	1.0	1.0	-239.44956199441802	0.0	-1.3964530021083736
37000	-238.89071889160033	0.8601347856245254	-239.75085367722485	0.16497253854067429	0.25362845741238926	3.034857525535922	0.19076903740791787	0.3805341451008167	0.1442876035858248	0.28440921390544055	1.0	1.0	-239.75085367722485	0.0	1.7443800888203498
