# BEAST v1.8.4
# Generated Sun Jan 13 09:46:34 OMST 2019 [seed=1547351194255]
# nac1_sfragm_mod.xml
state	posterior	prior	likelihood	treeModel.rootHeight	exponential.popSize	exponential.growthRate	ac	ag	at	cg	gt	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
41000	-259.5854668397703	-19.18899011871577	-240.3964767210545	0.2756437382399899	0.3363491374363528	0.3909510493399342	6.969512135428152E-4	0.31464365626575524	0.34834967313089166	0.036009127267085266	0.15411172368066578	1.0	0.49819082077095994	0.7225577558119827	0.34765467998267124	0.3726385721545523	-240.3964767210545	-16.635532333438686	-0.5786889189541364
42000	-257.91326870595003	-18.30449105657748	-239.60877764937257	0.19135378058720864	0.622840266137247	-1.4660633413207194	2.1388207677956717E-4	0.5441631019362417	0.4164640795578331	0.004983407459886598	0.2838641508857243	1.0	0.2232195121381744	1.0354020339193921	0.1392736713137826	0.20930558880337582	-239.60877764937257	-16.635532333438686	-0.5303823493155226
43000	-260.71807245466596	-19.02215186785704	-241.6959205868089	0.20617677961905906	0.7218522037041485	2.6849062023690897	6.777283625762955E-4	1.032033591802394	0.9767377338122075	5.387323416222871E-4	0.2833172712823015	1.0	0.23799662426276538	0.9887768571107506	0.20609690899554414	4.852996275636966E-16	-241.6959205868089	-16.635532333438686	0.6408680203844547
44000	-257.0145797990521	-13.49500471134322	-243.51957508770892	0.26441639524087457	0.23772700482347528	-0.8965819853968243	1.5954179900116717E-4	1.1519031184508945	0.6094119072269645	6.280362206432055E-4	0.10072374016356174	1.0	0.2669239478260852	1.0461705788354982	0.14911499633585729	0.5741717930692621	-243.51957508770892	-16.635532333438686	0.7521014880087327
45000	-257.1486307751776	-13.364471235772056	-243.78415953940555	0.25655375040614153	0.6436596087653809	0.3910955981444224	7.672734954866138E-5	0.198802346569309	0.6094119072269645	5.30900485596864E-4	0.23493148019275506	1.0	0.1353516712272494	1.0430594421608803	0.0866620368298891	-0.05120052906824566	-243.78415953940555	-16.635532333438686	-0.7752907902119189
46000	-251.6156261474532	-11.651401636037459	-239.96422451141575	0.23612464997884547	0.5970569278724335	-0.3890980854653341	3.8194606729494114E-5	0.521287355722507	0.5153809041634438	1.2214232028637573E-4	0.29560713454035914	1.0	0.027738439185337964	0.9985797680171051	0.01793259458607222	-0.06481906278687781	-239.96422451141575	-16.635532333438686	-0.5332433434375302
47000	-253.21578622389708	-12.755477699009905	-240.46030852488718	0.22914507728073988	0.62186931775971	-2.0355336646912265	3.2321374223492836E-5	0.2656889920705126	0.5008393047096081	1.1880936801441134E-4	0.28322600719563484	1.0	0.1028972572565383	0.9745710063666416	0.13127912056475413	0.4096396846583458	-240.46030852488718	-16.635532333438686	-0.6331765910940075
48000	-251.36799365461331	-10.856736153051052	-240.51125750156226	0.26727937139898783	0.26380143453609	0.5752672236356977	4.206527528641691E-5	0.2935772810974654	0.5008393047096081	6.294198751250144E-4	0.11661406329043632	1.0	0.2457208406302632	0.8671326558975527	0.15705382760751213	0.24332955984413787	-240.51125750156226	-16.635532333438686	0.4470719758887973
49000	-253.47427618646284	-10.56077754994322	-242.91349863651962	0.2851177408037948	0.37575974155375635	3.8556049536602046	1.659236831729251E-5	0.18853041788186498	0.4252391396880576	1.9348042226627443E-4	0.11661406329043632	1.0	0.14920498209803554	0.9509421288877014	0.08803163187686774	-0.28470792553376906	-242.91349863651962	-16.635532333438686	1.494119237795029
50000	-253.0631464854459	-11.416820085263744	-241.64632640018218	0.25265498719276613	0.6221789238375389	2.7516975039034883	1.5031686606506943E-5	0.7052283073794847	0.8905502919546123	2.7260780096135997E-4	0.030359201837262387	1.0	0.18057903972928216	0.9908592051921254	0.23001015626660537	0.3930288711252516	-241.64632640018218	-16.635532333438686	1.1052349656971514
51000	-251.3446529290727	-12.025852607605403	-239.3188003214673	0.21389699180699037	0.5625572682456157	-1.6713881201699081	5.905762218792506E-6	0.30346082503283867	0.6223620174142508	9.363326030188397E-5	0.2324821867609292	1.0	0.4386619719514397	0.921912816211468	0.2756548408193104	0.0793995427239853	-239.3188003214673	-16.635532333438686	-1.0476220886067544
52000	-248.95308298057756	-6.920291668936407	-242.03279131164115	0.17840055570837268	0.3961994940875187	0.3159385930085872	5.905762218792506E-6	0.730745441658699	0.6171663637709978	2.933694682640133E-5	0.18455454988997047	1.0	0.2100193377779521	0.9257496779841254	0.23257899652908817	0.09351123869618139	-242.03279131164115	-16.635532333438686	1.1871035033400363
53000	-253.50326511986515	-10.72622807994825	-242.7770370399169	0.1775812847163268	1.6108875592070424	0.2896308298170489	3.8019509093148574E-5	0.41099023372708504	0.46165681452131907	1.4909558911465423E-5	0.03941431828187182	1.0	0.22064358445346668	1.0264989723443836	0.1269352681070793	-0.5773925895230645	-242.7770370399169	-16.635532333438686	-2.419783763847391
54000	-251.03100425225665	-10.254882216117597	-240.77612203613904	0.2799877955530975	0.2540706621485045	-0.5169804004433594	1.949746733064471E-4	0.5085143998714636	0.677233038504152	1.0111219494699435E-5	0.057777580942183084	1.0	0.7466754949847795	0.8251685295183719	0.5065108100776431	0.17735757968991797	-240.77612203613904	-16.635532333438686	0.15211722328728738
55000	-254.8978507957851	-9.806423547648569	-245.09142724813654	0.16392953442709404	0.5848020155702623	1.6183920485898307	1.949746733064471E-4	0.14364962858282165	0.5054024112394813	1.4982705682539676E-5	0.16278979702774501	1.0	0.38271694356988	0.9772030242303946	0.49998314796732113	-0.40076351558883055	-245.09142724813654	-16.635532333438686	1.297564650021512
56000	-248.4589710082406	-9.307196973780089	-239.15177403446052	0.20069605722031217	0.1805976188096811	-0.5247588864957566	7.551028794372573E-5	0.6450807322256512	0.6779348368906316	1.940191776124316E-5	0.2809328246891428	1.0	0.23588092486046008	0.9904355762271367	0.16225170771527825	-0.08351774990664745	-239.15177403446052	-16.635532333438686	0.7104393194714742
57000	-250.76470756581818	-6.632678235857174	-244.132029329961	0.24894677107122423	0.2865008027710606	-0.4786298813391019	5.205837746059741E-5	0.8192150716521348	0.31751522674896926	9.937095412866398E-6	0.1421960582654516	1.0	0.023721594181189465	0.9906565280487629	0.013219158771894958	0.1701843809708308	-244.132029329961	-16.635532333438686	0.9932185634483797
58000	-248.88281278239387	-7.163833087159787	-241.71897969523408	0.14758165408423846	0.24620465523900295	2.0310503050311404	6.920695756180925E-6	0.8192150716521348	0.9510640196385532	9.937095412866398E-6	0.4214878361918248	1.0	0.0917169213346931	1.000846553535587	0.09681378945723923	-0.17317007815168436	-241.71897969523408	-16.635532333438686	2.3156722288222853
59000	-255.05260513034176	-13.26765212274671	-241.78495300759505	0.2630876350740947	0.2980650211825547	3.1020217286782605	1.8577908831721403E-5	0.8192150716521348	0.7787221482615997	8.822448983525724E-4	0.270591361335407	1.0	0.07027215715900523	1.0212134176133913	0.05885451076508237	0.3635429151798011	-241.78495300759505	-16.635532333438686	1.9664198227599885
60000	-257.1581428471295	-12.869937438620678	-244.28820540850882	0.22613666384072575	0.3267311514395172	0.9665424947158905	5.892680656660478E-5	0.3945158871527936	0.7145128547308514	0.00195141241419027	0.5860821579967729	1.0	0.006105034407353329	0.9987481149601095	0.005828459209679932	0.21555678024640895	-244.28820540850882	-16.635532333438686	1.9410420657769263
61000	-259.28151665416596	-16.769428562854458	-242.5120880913115	0.20335657081012284	0.5035698607465485	-0.15423070609150147	9.343466657967884E-5	0.6686519711616408	0.6218126100688838	0.002444285352907355	0.747256205187268	1.0	0.28578407351167495	1.0569615076577972	0.23662149911100658	0.43300853301880365	-242.5120880913115	-16.635532333438686	-0.22666391380389883
62000	-263.74174944915774	-19.19075963205199	-244.55098981710577	0.4216775089775052	0.5170746683691673	-0.25545323353158644	1.6593997230820095E-4	0.4293414375766138	0.6218126100688838	0.0018012141788141696	0.8450914717322213	1.0	0.7885011226326875	0.5205879437337254	0.9305479154034301	-0.31024894575302003	-244.55098981710577	-16.635532333438686	-1.062752977756495
63000	-260.1036398402808	-18.402343346504626	-241.70129649377614	0.18532036431232923	0.693882449952849	0.5758318716200665	9.789632119874395E-5	0.7327986682934258	0.7429945989220264	0.010791119909028302	0.47469116175003667	1.0	0.25298556107817055	0.9529363442695954	0.26429138587950657	-0.35695640379188404	-241.70129649377614	-16.635532333438686	0.05326555820305373
64000	-253.5075211464411	-14.456200839310078	-239.05132030713102	0.22446533282963477	0.45869517634642637	-0.4637997708560257	7.205188401756655E-5	0.6561550550153854	0.832118296373954	0.0020369244537746817	0.25159726382080694	1.0	0.007339941616053667	0.9983555890824362	0.009249777341651893	-0.0737511658637037	-239.05132030713102	-16.635532333438686	0.24287880583467852
65000	-253.2813010408868	-13.323826204471683	-239.95747483641512	0.24729007693135419	0.2934365939173989	0.41934292803755924	2.5843420160119427E-5	0.6561550550153854	0.832118296373954	0.0019530133650960014	0.3126242313416418	1.0	0.3648207676628037	0.8787082947224891	0.3663396620709042	-0.290583949602492	-239.95747483641512	-16.635532333438686	1.1548900274382414
66000	-255.92697420019746	-11.988829099411202	-243.93814510078627	0.2463584257708146	0.3357793198605701	0.11861706825677598	4.335654944529217E-6	1.0151594857403554	1.0888457418548119	0.0028254153414866284	0.14666327752644753	1.0	0.15772103689390857	1.0576612429369991	0.12822656670925933	0.3736282159643548	-243.93814510078627	-16.635532333438686	0.3356783484898306
67000	-253.55273149376032	-12.211588558251147	-241.34114293550917	0.22450553523287653	0.2975035611809107	1.0721484019278387	6.28711961267625E-6	0.6556927086033564	0.9809240652367501	0.0012386373300572312	0.5175606131527386	1.0	0.35461150568460564	1.0863502516117804	0.33868185572416487	0.1831379315484529	-241.34114293550917	-16.635532333438686	1.797422030039397
